,dist_km,time_min,city,place_idx,name
248,92.549,57.6167,Trois-Rivières,24,Abelha et Aristee
249,45.296,33.4833,Terrebonne,24,Abelha et Aristee
250,14.159,17.5167,Montréal,25,Academie Arts Martiaux Brossard
251,258.672,147.15,Québec,25,Academie Arts Martiaux Brossard
252,38.919,34.1167,Laval,25,Academie Arts Martiaux Brossard
253,209.667,126.1833,Gatineau,25,Academie Arts Martiaux Brossard
254,3.547,7.9833,Longueuil,25,Academie Arts Martiaux Brossard
255,149.211,88.3833,Sherbrooke,25,Academie Arts Martiaux Brossard
256,243.103,138.95,Lévis,25,Academie Arts Martiaux Brossard
257,458.728,264.3333,Saguenay,25,Academie Arts Martiaux Brossard
258,149.529,90.95,Trois-Rivières,25,Academie Arts Martiaux Brossard
259,40.722,34.45,Terrebonne,25,Academie Arts Martiaux Brossard
260,14.273,17.4667,Montréal,26,Academie Wing Chun Wu Dao Kung Fu
261,255.977,147.0333,Québec,26,Academie Wing Chun Wu Dao Kung Fu
262,39.033,34.0667,Laval,26,Academie Wing Chun Wu Dao Kung Fu
263,209.781,126.1333,Gatineau,26,Academie Wing Chun Wu Dao Kung Fu
264,5.365,12.6333,Longueuil,26,Academie Wing Chun Wu Dao Kung Fu
265,146.516,88.2833,Sherbrooke,26,Academie Wing Chun Wu Dao Kung Fu
266,240.408,138.85,Lévis,26,Academie Wing Chun Wu Dao Kung Fu
267,456.033,264.2333,Saguenay,26,Academie Wing Chun Wu Dao Kung Fu
268,152.018,91.6333,Trois-Rivières,26,Academie Wing Chun Wu Dao Kung Fu
269,43.211,35.15,Terrebonne,26,Academie Wing Chun Wu Dao Kung Fu
270,141.269,90.0333,Montréal,27,Academie de Karting Jim Russell
271,377.609,212.35,Québec,27,Academie de Karting Jim Russell
272,121.283,78.4333,Laval,27,Academie de Karting Jim Russell
273,154.048,104.45,Gatineau,27,Academie de Karting Jim Russell
274,147.889,98.7,Longueuil,27,Academie de Karting Jim Russell
275,290.937,172.3667,Sherbrooke,27,Academie de Karting Jim Russell
276,370.325,213.0333,Lévis,27,Academie de Karting Jim Russell
277,577.665,329.5333,Saguenay,27,Academie de Karting Jim Russell
278,247.372,143.5833,Trois-Rivières,27,Academie de Karting Jim Russell
279,131.372,81.65,Terrebonne,27,Academie de Karting Jim Russell
280,86.748,61.1,Montréal,28,Acro-Nature
281,323.088,183.4333,Québec,28,Acro-Nature
282,66.762,49.5167,Laval,28,Acro-Nature
283,160.043,102.2333,Gatineau,28,Acro-Nature
284,93.368,69.7833,Longueuil,28,Acro-Nature
285,236.416,143.4333,Sherbrooke,28,Acro-Nature
286,315.804,184.1167,Lévis,28,Acro-Nature
287,523.144,300.6167,Saguenay,28,Acro-Nature
288,192.851,114.6667,Trois-Rivières,28,Acro-Nature
289,76.851,52.7333,Terrebonne,28,Acro-Nature
290,143.999,93.3833,Montréal,29,Action Tremblant Activities
291,380.339,215.7,Québec,29,Action Tremblant Activities
292,124.013,81.7833,Laval,29,Action Tremblant Activities
293,156.778,107.8,Gatineau,29,Action Tremblant Activities
294,150.619,102.0667,Longueuil,29,Action Tremblant Activities
295,293.667,175.7167,Sherbrooke,29,Action Tremblant Activities
296,373.055,216.4,Lévis,29,Action Tremblant Activities
297,580.395,332.9,Saguenay,29,Action Tremblant Activities
298,250.102,146.9333,Trois-Rivières,29,Action Tremblant Activities
299,134.102,85.0167,Terrebonne,29,Action Tremblant Activities
300,29.949,27.45,Montréal,30,Advanced Bassin
